[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.9970034168914522,-0.07735752521099111,-0.8279103652669816)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.9991329927555053,-0.04163247275177832,-0.21961437683296303)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.9401290622645662,-0.3408186413410326,-0.10920517238340359)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.32130932609220614,0.9469742958318205,-0.9415750144468958)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.11173076388589075,0.9937385151041874,0.22609562260779548)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.46862743404150103,0.8833959067505796,0.7357587122992737)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.9714102392634387,0.23740713353677623,-0.7023541043712089)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.9852329911437123,0.17121902102866274,-0.7717243252291326)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.014349976760959712,0.999897033782459,-0.8300156250058528)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.048388986133069745,0.9988285668827327,0.4849168863436334)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.7001195083581229,0.7140256816224332,0.9718796676565624)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.07096536659384539,0.9974787800972015,0.46288047742789573)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.32770839696892523,-0.9447789194071051,0.03795191585927358)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.062462103619046944,0.9980473363580925,-0.8295502685346589)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.7296616021053055,0.6838084135290519,-0.5806726647888693)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.2924036719797486,-0.9562949820075182,-0.8833658558795977)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.4171955144656646,0.9088167596989667,0.9847735504849021)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.5128848549150746,0.8584574104745923,-0.9527577825213123)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.7097859149273077,0.7044174578833241,0.3057553916110267)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.9885850761832158,0.1506636888829738,0.6849385031924952)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(-0.9911250514293604,0.13293281171008078,0.7901270479095386)]
[(0.0,0.0,1.0)|(0.0,0.0,2.0)|(0.9961757481450901,-0.08737207109580224,-0.9985972914274519)]
